Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Tim Duncan,26,SAS,603,610,0.989,120,,,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248,duncati01
1st,G,Kobe Bryant,24,LAL,599,610,0.982,118,,,82,41.5,30.0,6.9,5.9,2.2,0.8,.451,.383,.843,14.9,.210,bryanko01
1st,F,Kevin Garnett,26,MIN,596,610,0.977,115,,,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225,garneke01
1st,C,Shaquille O'Neal,30,LAL,593,610,0.972,112,,,67,37.8,27.5,11.1,3.1,0.6,2.4,.574,,.622,13.2,.250,onealsh01
1st,G,Tracy McGrady,23,ORL,578,610,0.948,107,,,75,39.4,32.1,6.5,5.5,1.7,0.8,.457,.386,.793,16.1,.262,mcgratr01
2nd,F,Dirk Nowitzki,24,DAL,360,610,0.59,5,,,80,39.0,25.1,9.9,3.0,1.4,1.0,.463,.379,.881,16.1,.249,nowitdi01
2nd,G,Jason Kidd,29,NJN,355,610,0.582,16,,,80,37.4,18.7,6.3,8.9,2.2,0.3,.414,.341,.841,11.3,.182,kiddja01
2nd,G,Allen Iverson,27,PHI,350,610,0.574,8,,,82,42.5,27.6,4.2,5.5,2.7,0.2,.414,.277,.774,9.2,.127,iversal01
2nd,F,Chris Webber,29,SAC,310,610,0.508,1,,,67,39.1,23.0,10.5,5.4,1.6,1.3,.461,.238,.607,6.9,.127,webbech01
2nd,C,Ben Wallace,28,DET,307,610,0.503,5,,,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,wallabe01
3rd,C,Jermaine O'Neal,24,IND,165,610,0.27,2,,,77,37.2,20.8,10.3,2.0,0.9,2.3,.484,.333,.731,10.5,.177,onealje01
3rd,G,Stephon Marbury,25,PHO,141,610,0.231,1,,,81,40.0,22.3,3.2,8.1,1.3,0.2,.439,.301,.803,9.6,.142,marbust01
3rd,F,Paul Pierce,25,BOS,91,610,0.149,0,,,79,39.2,25.9,7.3,4.4,1.8,0.8,.416,.302,.802,10.1,.157,piercpa01
3rd,G,Steve Nash,28,DAL,85,610,0.139,0,,,82,33.1,17.7,2.9,7.3,1.0,0.1,.465,.413,.909,11.6,.206,nashst01
3rd,F,Jamal Mashburn,30,NOH,63,610,0.103,0,,,82,40.5,21.6,6.1,5.6,1.0,0.2,.422,.389,.848,9.0,.130,mashbja01
ORV,C,Yao Ming,22,HOU,55,610,0.09,0,,,82,29.0,13.5,8.2,1.7,0.4,1.8,.498,.500,.811,8.7,.176,mingya01
ORV,F,Karl Malone,39,UTA,33,610,0.054,0,,,81,36.2,20.6,7.8,4.7,1.7,0.4,.462,.214,.763,11.1,.182,malonka01
ORV,F,Shawn Marion,24,PHO,28,610,0.046,0,,,81,41.6,21.2,9.5,2.4,2.3,1.2,.452,.387,.851,13.0,.186,mariosh01
ORV,C,Zydrunas Ilgauskas,27,CLE,25,610,0.041,0,,,81,30.0,17.2,7.5,1.6,0.7,1.9,.441,.000,.781,5.0,.099,ilgauzy01
ORV,C,Vlade Divac,34,SAC,23,610,0.038,0,,,80,29.8,9.9,7.2,3.4,1.0,1.3,.466,.240,.713,7.0,.141,divacvl01
ORV,G,Steve Francis,25,HOU,18,610,0.03,0,,,81,41.0,21.0,6.2,6.2,1.7,0.5,.435,.354,.800,11.1,.160,francst01
ORV,G,Ray Allen,27,TOT,15,610,0.025,0,,,76,37.9,22.5,5.0,4.4,1.4,0.2,.439,.377,.916,9.1,.152,allenra02
ORV,G,Gary Payton,34,TOT,14,610,0.023,0,,,80,40.1,20.4,4.2,8.3,1.7,0.3,.454,.297,.710,9.1,.136,paytoga01
ORV,F,Rasheed Wallace,28,POR,14,610,0.023,0,,,74,36.3,18.1,7.4,2.1,0.9,1.0,.471,.358,.735,8.5,.151,wallara01
ORV,G,Allan Houston,31,NYK,10,610,0.016,0,,,82,37.9,22.5,2.8,2.7,0.7,0.1,.445,.396,.919,7.2,.111,houstal01
ORV,C,Pau Gasol,22,MEM,8,610,0.013,0,,,82,36.0,19.0,8.8,2.8,0.4,1.8,.510,.100,.736,8.5,.138,gasolpa01
ORV,F,Brad Miller,26,IND,8,610,0.013,0,,,73,31.1,13.1,8.3,2.6,0.9,0.6,.493,.313,.818,9.6,.202,millebr01
ORV,C,David Robinson,37,SAS,8,610,0.013,0,,,64,26.2,8.5,7.9,1.0,0.8,1.7,.469,,.710,6.0,.172,robinda01
ORV,F,Peja StojakoviÄ‡,25,SAC,8,610,0.013,0,,,72,34.0,19.2,5.5,2.0,1.0,0.1,.481,.382,.875,10.1,.199,stojape01
ORV,G,Michael Jordan,39,WAS,7,610,0.011,0,,,82,37.0,20.0,6.1,3.8,1.5,0.5,.445,.291,.821,6.2,.099,jordami01
ORV,F,Elton Brand,23,LAC,2,610,0.003,0,0,2,62,39.6,18.5,11.3,2.5,1.1,2.5,.502,.000,.685,7.6,.149,brandel01
ORV,F,Brian Grant,30,MIA,2,610,0.003,0,0,2,82,32.2,10.3,10.2,1.3,0.8,0.6,.509,,.771,7.7,.139,grantbr01
ORV,F,Antawn Jamison,26,GSW,2,610,0.003,0,0,2,82,39.3,22.2,7.0,1.9,0.9,0.5,.470,.311,.789,8.5,.126,jamisan01
ORV,C,Theo Ratliff,29,ATL,2,610,0.003,0,0,2,81,31.1,8.7,7.5,0.9,0.7,3.2,.464,,.720,4.0,.077,ratlith01
ORV,F,Amar'e Stoudemire,20,PHO,2,610,0.003,0,0,2,82,31.3,13.5,8.8,1.0,0.8,1.1,.472,.200,.661,6.2,.116,stoudam01
ORV,F,Antoine Walker,26,BOS,2,610,0.003,0,0,2,78,41.5,20.1,7.2,4.8,1.5,0.4,.388,.323,.615,2.6,.039,walkean02
ORV,G,Mike Bibby,24,SAC,1,610,0.002,0,0,1,55,33.4,15.9,2.7,5.2,1.3,0.1,.470,.409,.861,5.6,.146,bibbymi01
ORV,G,Michael Finley,29,DAL,1,610,0.002,0,0,1,69,38.3,19.3,5.8,3.0,1.1,0.3,.425,.370,.861,6.7,.123,finlemi01
ORV,C,Jamaal Magloire,24,NOH,1,610,0.002,0,0,1,82,29.8,10.3,8.8,1.1,0.6,1.4,.480,.000,.717,6.7,.133,magloja01
ORV,G,Tony Parker,20,SAS,1,610,0.002,0,0,1,82,33.8,15.5,2.6,5.3,0.9,0.0,.464,.337,.755,7.7,.134,parketo01
ORV,F,Jalen Rose,30,CHI,1,610,0.002,0,0,1,82,40.9,22.1,4.3,4.8,0.9,0.3,.406,.370,.854,3.6,.052,roseja01
ORV,G,John Stockton,40,UTA,1,610,0.002,0,0,1,82,27.7,10.8,2.5,7.7,1.7,0.2,.483,.363,.826,9.0,.190,stockjo01
ORV,F,Wally Szczerbiak,25,MIN,1,610,0.002,0,0,1,52,35.3,17.6,4.6,2.6,0.8,0.4,.481,.421,.867,5.2,.135,szczewa02